rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_end,C_best,C_gap,E_end_over_h,E_best_over_h,E_gap_over_h,endpoint_residual_fraction,best_residual_fraction,slope_gap_abs,intercept_gap_abs,pythagorean_abs_error
C_best,11,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,6.655925850726129,5.142560225985038,4.225567802379566,44.30134893036435,26.445925677883285,17.855423252506874,7.589229592880685e-07,4.53043093746862e-07,0.007185556442605545,3.7938201914630554,
C_best,12,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,6.6554607456386465,5.142199958637883,4.22527363872733,44.295157736736925,26.442220414615438,17.85293732212409,7.705762945638789e-07,4.599994506902219e-07,0.00718555644171559,3.793557082541156,
C_best,13,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,6.655001264408754,5.141844047494334,4.224983031983146,44.28904182928211,26.43856020875291,17.850481620545494,7.448955074200035e-07,4.446690176334423e-07,0.007185556441081431,3.7932971550262664,
C_best,14,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,6.654987913833241,5.141833706225907,4.224974588182336,44.288864133266515,26.43845386248085,17.850410270786504,7.612323883255991e-07,4.544213939832212e-07,0.007185556440761687,3.7932896026331946,
C_best,15,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,6.653784744915043,5.140901739481967,4.224213623465129,44.27285143166415,26.428870695008715,17.843980736668392,7.690564429438081e-07,4.590915793869222e-07,0.007185556439718965,3.7926089726352075,
C_best,16,hexc_00679,680,604864891,604864888,3,604865039,post_P0_positive_tail,True,False,False,False,5.415322561869612,5.137426068001821,1.7124753559982586,29.325718449094058,26.39314660418465,2.932571844901363,1.426900148785597e-07,1.2842101339070372e-07,1.3264777069141918,1.9897165595448314,
C_best,17,hexc_00607,608,604715329,604715326,3,604715411,post_P0_positive_tail,True,False,False,False,5.415255256501799,5.137362216523037,1.712454072174737,29.32498949307036,26.392490543758495,2.9324989493078397,1.3989593525318847e-07,1.2590634172784658e-07,1.326461220535153,1.9896918299800745,
C_best,18,hexc_00222,223,604848841,604844050,4791,604848841,post_P0_negative_tail,True,False,False,False,5.8446202245093115,5.066794674133906,2.9132760423469106,34.159585568743275,25.67240826983171,8.48717729891248,2.3668597395800266e-05,1.778797621231254e-05,0.025033813868972632,30.77344696779437,
C_best,19,hexc_00066,67,39699197,39695992,3205,39699197,finite_negative,False,False,False,True,5.402608236258769,5.027739452597902,1.9773749647656715,29.188175754491084,25.27816400320945,3.910011751282041,0.0001871865445184669,0.00016211126763562186,0.005115422576909667,16.215209849962775,
C_best,20,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,8.008560508628985,5.023691945947039,6.2369512305789385,64.13704142037176,25.237480767773153,38.89956065262014,8.378008990139962e-06,3.296688404677933e-06,0.030421083528981097,23.983183564883802,
C_best,21,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,6.482092317280486,5.007909927383308,4.115623764263235,42.017520809746706,25.079161840784288,16.938358968968284,1.1772522978111863e-06,7.026711794331568e-07,0.007185556088446177,3.6954828886300675,
C_best,22,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,6.479252068684097,5.005709889973529,4.113827398783496,41.980707369547154,25.057131502578798,16.923575866981786,1.153044944529206e-06,6.882208665309502e-07,0.007185556081488187,3.693876164361427,
C_best,23,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,6.864752116121537,4.969367390804842,4.736054196375123,47.12482161579511,24.69461226479452,22.43020935100241,4.0678337800586574e-05,2.131648980555766e-05,0.6191952643362155,1.6923849701777272,
C_best,24,hexc_00158,159,178905659,178902349,3310,178905659,finite_negative,False,False,False,True,5.167398301838659,4.884858146156631,1.6852792355488448,26.702005209845062,23.8618391080728,2.8401661017720987,4.583522721075273e-05,4.0959950707435586e-05,0.013429320696215274,18.26706869964073,
C_best,25,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,6.488095069490736,4.87913796069941,4.276609684225691,42.09537763075,23.805987239538,18.28939039121296,8.866595523415045e-05,5.014281181655778e-05,0.014902765087722702,16.61661620778159,
C_gap,1,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,7.700000352930452,3.9205486843869206,6.627164057761928,59.29000543512908,15.370701986648015,43.91930344849154,7.786089605810606e-06,2.018513273762394e-06,0.03102371743996324,33.613724801905846,
C_gap,2,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,7.438244050688844,3.871066344657824,6.351560431332067,55.32747455760799,14.985154644742487,40.34231991286319,0.0001905539623356168,5.1610535572059665e-05,0.04913413580566006,18.41678200310821,
C_gap,3,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,8.008560508628985,5.023691945947039,6.2369512305789385,64.13704142037176,25.237480767773153,38.89956065262014,8.378008990139962e-06,3.296688404677933e-06,0.030421083528981097,23.983183564883802,
C_gap,4,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,6.763592223849976,3.017800359291349,6.0530207964278455,45.74617977052387,9.107119008538994,36.63906076198799,1.3293950372010177e-05,2.6465507882587825e-06,0.013233035018487826,38.00044160978723,
C_gap,5,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,6.908850056190145,3.5116019698963674,5.949862242434252,47.732209098918574,12.331348394980049,35.400860703944744,3.3288283699061934e-05,8.59984131288338e-06,0.0015802902439265853,27.44779446179473,
C_gap,6,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,7.12859076935284,4.25147562841261,5.722041710606102,50.81680635690252,18.0750450189864,32.741761337916,0.0013147173309265249,0.0004676321998049124,0.017443084023894606,19.075913015040214,
C_gap,7,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,7.209357503721075,4.5925513806184,5.557275180593497,51.97483561645937,21.091528183619975,30.88330743284049,2.945504504656541e-05,1.195293655825806e-05,0.0341417674639628,15.412786998682805,
C_gap,8,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,6.555703716286487,3.5583005624841273,5.505973875960289,42.977251215732466,12.661502892974855,30.315748322757173,0.00039978059635265055,0.00011777912812212016,0.023378803045690955,15.920190263388918,
C_gap,9,hexc_00087,88,3290641,3290318,323,3290641,finite_negative,False,False,False,True,6.088052372123514,2.672272020418052,5.470223389827062,37.064381685718736,7.141037751109179,29.923343934611076,0.00032146709121427065,6.193570564769153e-05,0.02226053477401224,17.992257870452022,
C_gap,10,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,8.580752479596972,6.616791960800818,5.463275323795285,73.62931311610959,43.78193585251833,29.84737726359048,9.861270095805125e-06,5.863771865942267e-06,1.1069467938533912,2.799859728877891,
C_gap,11,hexc_00174,175,12776941,12776609,332,12776941,finite_positive,False,False,False,True,6.188680230584409,3.1153899757583194,5.3473459113257995,38.299762996426296,9.70565470105542,28.594108295372745,9.22831606510849e-05,2.3385745026281974e-05,0.02507436844516797,14.430473247518876,
C_gap,12,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,7.517295788807058,5.381442798987884,5.2487912301443815,56.50973597641633,28.959926598778548,27.549809377640567,1.8522158874289463e-05,9.492176032714042e-06,0.20116558688883768,12.251751831502588,
C_gap,13,hexc_00071,72,12843647,12843190,457,12843647,finite_negative,False,False,False,True,6.067760230348158,3.40896510015829,5.019628587744155,36.81771421299473,11.62104305409722,25.19667115889838,0.00012031721210385173,3.797659718685937e-05,0.00689711041419705,17.518528959795276,
C_gap,14,hexc_00178,179,30851221,30850871,350,30851287,finite_positive,False,False,False,True,6.14693554370963,3.8562840161336798,4.786845533901595,37.78481657852081,14.870926413088101,22.91389016543365,4.343837955789532e-05,1.7095992634154e-05,0.02332178075355562,16.616834260923042,
C_gap,15,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,6.864752116121537,4.969367390804842,4.736054196375123,47.12482161579511,24.69461226479452,22.43020935100241,4.0678337800586574e-05,2.131648980555766e-05,0.6191952643362155,1.6923849701777272,
C_gap,16,hexc_00431,432,604813747,604812190,1557,604813747,post_P0_negative_tail,True,False,False,False,5.879263670149562,3.545199875883926,4.690127838682031,34.565741303140506,12.568442159967406,21.99729914318018,9.081008140640065e-06,3.301943521733701e-06,0.015913240375492466,26.205663740816817,
C_gap,17,hexc_00298,299,39651863,39651244,619,39651863,finite_negative,False,False,False,True,5.7422964253228175,3.319763548960464,4.6854176137534065,32.97396823627521,11.020830021006576,21.953138215270666,5.1699592959444696e-05,1.727946184937645e-05,0.037283073524023935,22.618240328446518,
C_gap,18,hexc_00270,271,187425023,187423758,1265,187425023,finite_negative,False,False,False,True,6.487786304142439,4.559715961546175,4.615231465294302,42.091371128218206,20.79100964997896,21.300361478242596,2.7773637107415584e-05,1.3718772794459337e-05,0.04645807210678776,14.098607282223384,
C_gap,19,hexc_00208,209,40865926,40865652,274,40866037,finite_positive,False,False,False,True,5.191559714587585,2.3831688486947544,4.612244411210255,26.95229227012873,5.6794937613890815,21.27279850874023,1.8912859630388758e-05,3.985392678450178e-06,0.027899975053759185,14.571564466258224,
C_gap,20,hexc_00056,57,179620853,179616870,3983,179620853,finite_negative,False,False,False,True,6.295776388796375,4.380709745449327,4.521745510734878,39.63680033772592,19.190617873874707,20.44618246385102,6.583213712460457e-05,3.187339484051023e-05,0.02953657704214918,22.35054122033671,
C_gap,21,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,7.085660762263424,5.475430152365041,4.497360679831783,50.20658843787949,29.980335353428252,20.226253084497003,2.594248423585902e-07,1.549128115435299e-07,0.007185556837049134,4.036919957770806,
C_gap,22,hexc_00251,252,39640132,39639838,294,39640253,finite_positive,False,False,False,True,5.924145429614287,4.034584624615071,4.3379287659020855,35.09549907121984,16.27787309318034,18.817625978040788,2.751592436295832e-05,1.2762340946138215e-05,0.006889047892059241,13.166428198269841,
C_gap,23,hexc_00189,190,31026221,31025775,446,31026421,finite_positive,False,False,False,True,5.33068275432378,3.1360132305339574,4.310637962664161,28.41617862724496,9.834578982084027,18.581599645161425,4.0003877624842783e-05,1.3844975401229162e-05,0.05350503716416599,18.9225352809608,
C_gap,24,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,6.488095069490736,4.87913796069941,4.276609684225691,42.09537763075,23.805987239538,18.28939039121296,8.866595523415045e-05,5.014281181655778e-05,0.014902765087722702,16.61661620778159,
C_gap,25,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,6.671592040126686,5.154695153566559,4.235476150764788,44.51014034988176,26.570882126202566,17.939258223697298,7.352200833734836e-07,4.388987771903431e-07,0.007185556466843934,3.8026825196839127,
E_end_over_h,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,8.580752479596972,6.616791960800818,5.463275323795285,73.62931311610959,43.78193585251833,29.84737726359048,9.861270095805125e-06,5.863771865942267e-06,1.1069467938533912,2.799859728877891,
E_end_over_h,2,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,8.008560508628985,5.023691945947039,6.2369512305789385,64.13704142037176,25.237480767773153,38.89956065262014,8.378008990139962e-06,3.296688404677933e-06,0.030421083528981097,23.983183564883802,
E_end_over_h,3,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,7.700000352930452,3.9205486843869206,6.627164057761928,59.29000543512908,15.370701986648015,43.91930344849154,7.786089605810606e-06,2.018513273762394e-06,0.03102371743996324,33.613724801905846,
E_end_over_h,4,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,7.517295788807058,5.381442798987884,5.2487912301443815,56.50973597641633,28.959926598778548,27.549809377640567,1.8522158874289463e-05,9.492176032714042e-06,0.20116558688883768,12.251751831502588,
E_end_over_h,5,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,7.438244050688844,3.871066344657824,6.351560431332067,55.32747455760799,14.985154644742487,40.34231991286319,0.0001905539623356168,5.1610535572059665e-05,0.04913413580566006,18.41678200310821,
E_end_over_h,6,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,7.38923518106439,6.071104017630254,4.212183824121211,54.6007965610797,36.85830399288621,17.74249256818839,5.261093137005674e-06,3.5515044173708654e-06,1.4361630502789637,2.859494676966733,
E_end_over_h,7,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,7.348868426896997,6.037917219644655,4.1892031228576885,54.00586715584355,36.456444351281434,17.549422804560606,5.094887652269624e-06,3.439283506642126e-06,1.4283136157444813,2.8437958008044006,
E_end_over_h,8,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,7.209357503721075,4.5925513806184,5.557275180593497,51.97483561645937,21.091528183619975,30.88330743284049,2.945504504656541e-05,1.195293655825806e-05,0.0341417674639628,15.412786998682805,
E_end_over_h,9,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,7.12859076935284,4.25147562841261,5.722041710606102,50.81680635690252,18.0750450189864,32.741761337916,0.0013147173309265249,0.0004676321998049124,0.017443084023894606,19.075913015040214,
E_end_over_h,10,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,7.085660762263424,5.475430152365041,4.497360679831783,50.20658843787949,29.980335353428252,20.226253084497003,2.594248423585902e-07,1.549128115435299e-07,0.007185556837049134,4.036919957770806,
E_end_over_h,11,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,6.908850056190145,3.5116019698963674,5.949862242434252,47.732209098918574,12.331348394980049,35.400860703944744,3.3288283699061934e-05,8.59984131288338e-06,0.0015802902439265853,27.44779446179473,
E_end_over_h,12,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,6.864752116121537,4.969367390804842,4.736054196375123,47.12482161579511,24.69461226479452,22.43020935100241,4.0678337800586574e-05,2.131648980555766e-05,0.6191952643362155,1.6923849701777272,
E_end_over_h,13,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,6.763592223849976,3.017800359291349,6.0530207964278455,45.74617977052387,9.107119008538994,36.63906076198799,1.3293950372010177e-05,2.6465507882587825e-06,0.013233035018487826,38.00044160978723,
E_end_over_h,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,6.671592040126686,5.154695153566559,4.235476150764788,44.51014034988176,26.570882126202566,17.939258223697298,7.352200833734836e-07,4.388987771903431e-07,0.007185556466843934,3.8026825196839127,
E_end_over_h,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,6.656036436858135,5.1426458852772425,4.225637744464502,44.30282104878313,26.446806701358955,17.856014347443043,7.154629182248775e-07,4.270994273580971e-07,0.007185556442713903,3.793882749791919,
E_end_over_h,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,6.655925850726129,5.142560225985038,4.225567802379566,44.30134893036435,26.445925677883285,17.855423252506874,7.589229592880685e-07,4.53043093746862e-07,0.007185556442605545,3.7938201914630554,
E_end_over_h,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,6.6554607456386465,5.142199958637883,4.22527363872733,44.295157736736925,26.442220414615438,17.85293732212409,7.705762945638789e-07,4.599994506902219e-07,0.00718555644171559,3.793557082541156,
E_end_over_h,18,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,6.655001264408754,5.141844047494334,4.224983031983146,44.28904182928211,26.43856020875291,17.850481620545494,7.448955074200035e-07,4.446690176334423e-07,0.007185556441081431,3.7932971550262664,
E_end_over_h,19,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,6.654987913833241,5.141833706225907,4.224974588182336,44.288864133266515,26.43845386248085,17.850410270786504,7.612323883255991e-07,4.544213939832212e-07,0.007185556440761687,3.7932896026331946,
E_end_over_h,20,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,6.653784744915043,5.140901739481967,4.224213623465129,44.27285143166415,26.428870695008715,17.843980736668392,7.690564429438081e-07,4.590915793869222e-07,0.007185556439718965,3.7926089726352075,
E_end_over_h,21,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,6.555703716286487,3.5583005624841273,5.505973875960289,42.977251215732466,12.661502892974855,30.315748322757173,0.00039978059635265055,0.00011777912812212016,0.023378803045690955,15.920190263388918,
E_end_over_h,22,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,6.488095069490736,4.87913796069941,4.276609684225691,42.09537763075,23.805987239538,18.28939039121296,8.866595523415045e-05,5.014281181655778e-05,0.014902765087722702,16.61661620778159,
E_end_over_h,23,hexc_00270,271,187425023,187423758,1265,187425023,finite_negative,False,False,False,True,6.487786304142439,4.559715961546175,4.615231465294302,42.091371128218206,20.79100964997896,21.300361478242596,2.7773637107415584e-05,1.3718772794459337e-05,0.04645807210678776,14.098607282223384,
E_end_over_h,24,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,6.482092317280486,5.007909927383308,4.115623764263235,42.017520809746706,25.079161840784288,16.938358968968284,1.1772522978111863e-06,7.026711794331568e-07,0.007185556088446177,3.6954828886300675,
E_end_over_h,25,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,6.479252068684097,5.005709889973529,4.113827398783496,41.980707369547154,25.057131502578798,16.923575866981786,1.153044944529206e-06,6.882208665309502e-07,0.007185556081488187,3.693876164361427,
E_best_over_h,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,8.580752479596972,6.616791960800818,5.463275323795285,73.62931311610959,43.78193585251833,29.84737726359048,9.861270095805125e-06,5.863771865942267e-06,1.1069467938533912,2.799859728877891,
E_best_over_h,2,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,7.38923518106439,6.071104017630254,4.212183824121211,54.6007965610797,36.85830399288621,17.74249256818839,5.261093137005674e-06,3.5515044173708654e-06,1.4361630502789637,2.859494676966733,
E_best_over_h,3,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,7.348868426896997,6.037917219644655,4.1892031228576885,54.00586715584355,36.456444351281434,17.549422804560606,5.094887652269624e-06,3.439283506642126e-06,1.4283136157444813,2.8437958008044006,
E_best_over_h,4,hexc_00320,321,109471009,109470995,14,109471171,finite_positive,False,False,False,True,6.030874917591912,5.956490123786639,0.9442868615353766,36.37145227163924,35.47977459476777,0.8916776768683313,1.2594219895041159e-06,1.2285461678455583e-06,0.027079488406675623,1.1155179964798663,
E_best_over_h,5,hexc_00245,246,12808387,12808371,16,12808469,finite_positive,False,False,False,True,5.59790897870274,5.485552969148478,1.1159272182833937,31.33658493384075,30.091291377333686,1.2452935565057128,8.828053475322487e-06,8.477232920608917e-06,0.11213171884791695,0.22045985046315764,
E_best_over_h,6,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,7.085660762263424,5.475430152365041,4.497360679831783,50.20658843787949,29.980335353428252,20.226253084497003,2.594248423585902e-07,1.549128115435299e-07,0.007185556837049134,4.036919957770806,
E_best_over_h,7,hexc_00112,113,30784249,30783029,1220,30784249,finite_negative,False,False,False,True,5.703211321141049,5.462188142709623,1.6404633696716058,32.52661937359144,29.835499306357605,2.6911200672343196,0.00011340296590874124,0.00010402046618641763,0.028748247298368557,1.2044602147625483,
E_best_over_h,8,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,7.517295788807058,5.381442798987884,5.2487912301443815,56.50973597641633,28.959926598778548,27.549809377640567,1.8522158874289463e-05,9.492176032714042e-06,0.20116558688883768,12.251751831502588,
E_best_over_h,9,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,6.671592040126686,5.154695153566559,4.235476150764788,44.51014034988176,26.570882126202566,17.939258223697298,7.352200833734836e-07,4.388987771903431e-07,0.007185556466843934,3.8026825196839127,
E_best_over_h,10,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,6.656036436858135,5.1426458852772425,4.225637744464502,44.30282104878313,26.446806701358955,17.856014347443043,7.154629182248775e-07,4.270994273580971e-07,0.007185556442713903,3.793882749791919,
E_best_over_h,11,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,6.655925850726129,5.142560225985038,4.225567802379566,44.30134893036435,26.445925677883285,17.855423252506874,7.589229592880685e-07,4.53043093746862e-07,0.007185556442605545,3.7938201914630554,
E_best_over_h,12,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,6.6554607456386465,5.142199958637883,4.22527363872733,44.295157736736925,26.442220414615438,17.85293732212409,7.705762945638789e-07,4.599994506902219e-07,0.00718555644171559,3.793557082541156,
E_best_over_h,13,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,6.655001264408754,5.141844047494334,4.224983031983146,44.28904182928211,26.43856020875291,17.850481620545494,7.448955074200035e-07,4.446690176334423e-07,0.007185556441081431,3.7932971550262664,
E_best_over_h,14,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,6.654987913833241,5.141833706225907,4.224974588182336,44.288864133266515,26.43845386248085,17.850410270786504,7.612323883255991e-07,4.544213939832212e-07,0.007185556440761687,3.7932896026331946,
E_best_over_h,15,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,6.653784744915043,5.140901739481967,4.224213623465129,44.27285143166415,26.428870695008715,17.843980736668392,7.690564429438081e-07,4.590915793869222e-07,0.007185556439718965,3.7926089726352075,
E_best_over_h,16,hexc_00679,680,604864891,604864888,3,604865039,post_P0_positive_tail,True,False,False,False,5.415322561869612,5.137426068001821,1.7124753559982586,29.325718449094058,26.39314660418465,2.932571844901363,1.426900148785597e-07,1.2842101339070372e-07,1.3264777069141918,1.9897165595448314,
E_best_over_h,17,hexc_00607,608,604715329,604715326,3,604715411,post_P0_positive_tail,True,False,False,False,5.415255256501799,5.137362216523037,1.712454072174737,29.32498949307036,26.392490543758495,2.9324989493078397,1.3989593525318847e-07,1.2590634172784658e-07,1.326461220535153,1.9896918299800745,
E_best_over_h,18,hexc_00222,223,604848841,604844050,4791,604848841,post_P0_negative_tail,True,False,False,False,5.8446202245093115,5.066794674133906,2.9132760423469106,34.159585568743275,25.67240826983171,8.48717729891248,2.3668597395800266e-05,1.778797621231254e-05,0.025033813868972632,30.77344696779437,
E_best_over_h,19,hexc_00066,67,39699197,39695992,3205,39699197,finite_negative,False,False,False,True,5.402608236258769,5.027739452597902,1.9773749647656715,29.188175754491084,25.27816400320945,3.910011751282041,0.0001871865445184669,0.00016211126763562186,0.005115422576909667,16.215209849962775,
E_best_over_h,20,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,8.008560508628985,5.023691945947039,6.2369512305789385,64.13704142037176,25.237480767773153,38.89956065262014,8.378008990139962e-06,3.296688404677933e-06,0.030421083528981097,23.983183564883802,
E_best_over_h,21,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,6.482092317280486,5.007909927383308,4.115623764263235,42.017520809746706,25.079161840784288,16.938358968968284,1.1772522978111863e-06,7.026711794331568e-07,0.007185556088446177,3.6954828886300675,
E_best_over_h,22,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,6.479252068684097,5.005709889973529,4.113827398783496,41.980707369547154,25.057131502578798,16.923575866981786,1.153044944529206e-06,6.882208665309502e-07,0.007185556081488187,3.693876164361427,
E_best_over_h,23,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,6.864752116121537,4.969367390804842,4.736054196375123,47.12482161579511,24.69461226479452,22.43020935100241,4.0678337800586574e-05,2.131648980555766e-05,0.6191952643362155,1.6923849701777272,
E_best_over_h,24,hexc_00158,159,178905659,178902349,3310,178905659,finite_negative,False,False,False,True,5.167398301838659,4.884858146156631,1.6852792355488448,26.702005209845062,23.8618391080728,2.8401661017720987,4.583522721075273e-05,4.0959950707435586e-05,0.013429320696215274,18.26706869964073,
E_best_over_h,25,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,6.488095069490736,4.87913796069941,4.276609684225691,42.09537763075,23.805987239538,18.28939039121296,8.866595523415045e-05,5.014281181655778e-05,0.014902765087722702,16.61661620778159,
E_gap_over_h,1,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,7.700000352930452,3.9205486843869206,6.627164057761928,59.29000543512908,15.370701986648015,43.91930344849154,7.786089605810606e-06,2.018513273762394e-06,0.03102371743996324,33.613724801905846,
E_gap_over_h,2,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,7.438244050688844,3.871066344657824,6.351560431332067,55.32747455760799,14.985154644742487,40.34231991286319,0.0001905539623356168,5.1610535572059665e-05,0.04913413580566006,18.41678200310821,
E_gap_over_h,3,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,8.008560508628985,5.023691945947039,6.2369512305789385,64.13704142037176,25.237480767773153,38.89956065262014,8.378008990139962e-06,3.296688404677933e-06,0.030421083528981097,23.983183564883802,
E_gap_over_h,4,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,6.763592223849976,3.017800359291349,6.0530207964278455,45.74617977052387,9.107119008538994,36.63906076198799,1.3293950372010177e-05,2.6465507882587825e-06,0.013233035018487826,38.00044160978723,
E_gap_over_h,5,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,6.908850056190145,3.5116019698963674,5.949862242434252,47.732209098918574,12.331348394980049,35.400860703944744,3.3288283699061934e-05,8.59984131288338e-06,0.0015802902439265853,27.44779446179473,
E_gap_over_h,6,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,7.12859076935284,4.25147562841261,5.722041710606102,50.81680635690252,18.0750450189864,32.741761337916,0.0013147173309265249,0.0004676321998049124,0.017443084023894606,19.075913015040214,
E_gap_over_h,7,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,7.209357503721075,4.5925513806184,5.557275180593497,51.97483561645937,21.091528183619975,30.88330743284049,2.945504504656541e-05,1.195293655825806e-05,0.0341417674639628,15.412786998682805,
E_gap_over_h,8,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,6.555703716286487,3.5583005624841273,5.505973875960289,42.977251215732466,12.661502892974855,30.315748322757173,0.00039978059635265055,0.00011777912812212016,0.023378803045690955,15.920190263388918,
E_gap_over_h,9,hexc_00087,88,3290641,3290318,323,3290641,finite_negative,False,False,False,True,6.088052372123514,2.672272020418052,5.470223389827062,37.064381685718736,7.141037751109179,29.923343934611076,0.00032146709121427065,6.193570564769153e-05,0.02226053477401224,17.992257870452022,
E_gap_over_h,10,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,8.580752479596972,6.616791960800818,5.463275323795285,73.62931311610959,43.78193585251833,29.84737726359048,9.861270095805125e-06,5.863771865942267e-06,1.1069467938533912,2.799859728877891,
E_gap_over_h,11,hexc_00174,175,12776941,12776609,332,12776941,finite_positive,False,False,False,True,6.188680230584409,3.1153899757583194,5.3473459113257995,38.299762996426296,9.70565470105542,28.594108295372745,9.22831606510849e-05,2.3385745026281974e-05,0.02507436844516797,14.430473247518876,
