candidate_id,block_id,x,y,h,p_star,E_theta,E_theta_sign,Q_R2Q,Q_delta_D,Q_exc,epsilon,D_start,D_end,DeltaD,bridge_excursion_raw,bridge_excursion_argmax,bridge_path_n_samples_existing,scale_denominator,scale_denominator_recomputed,threshold_relevant_flag,forbidden_flag,finite_zone_flag,post_P0_flag,row_regime,__row_id,bridge_path_n_samples,bridge_sample_grid_type,bridge_energy_L2_raw,bridge_energy_L2_normalized,bridge_energy_RMS_raw,bridge_energy_max,bridge_excursion_recomputed,bridge_excursion_argmax_recomputed,Q_exc_recomputed,Q_energy_L2,Q_energy_RMS,Q_exc_over_Q_energy_L2,Q_exc_over_Q_energy_RMS,energy_available_flag,failure_type,status,Q_exc_above_0p025_flag,energy_failure_flag,conc_ratio,energy_L2_above_0p025_flag,energy_L2_above_0p03_flag,energy_L2_above_0p04_flag,near_forbidden_flag,positive_harmless_flag,negative_channel_flag,finite_certified_flag,h_bin,p_star_bin,channel_compatible_flag,O2_repaid_flag,B3_no_accumulation_flag,subthreshold_non_surviving_flag,finite_candidate_certified_flag,repaid_or_harmless_flag,high_energy_surviving_unrepaid_flag,harmful_high_energy_flag,kappa_L2,kappa_RMS,bridge_samples_available_flag,bridge_sample_count,bridge_argmax_t,bridge_argmax_location_fraction,endpoint_repaid_flag,threshold_relevance_non_surviving_flag,exc_above_0p025_flag,high_energy_harmless_flag,harmful_concentration_flag,maximal_concentration_pass_flag,P0,post_P0_by_pstar,post_P0_by_x,post_P0_by_y,high_energy_flag,very_high_energy_flag,non_surviving_flag,channel,h_over_x,rho_proxy,log_pstar,surviving_proxy_flag,log2_pstar,log2_P0,C_cutoff_0p025_log2P0,C_bridge,C_exc,C_rms,C_bridge_margin_to_10,high_energy,very_high_energy,threshold_relevant,forbidden,sqrt_h_over_sqrt_x
hexc_00000,1,180530237,179845447,684790,180530237,-3089.9881332697114,negative,1.8193520399038576,1.8091175489119344,0.0022301154184481,,-9765.168998323748,-550860.8832795271,-541095.7142812033,667.0135370697717,179860179,41,299093.72920882725,299093.72920882725,True,True,True,False,forbidden_negative,0,41,sr11_realpath_offsets_plus_left_endpoint,2903761.011298771,70823.43929997002,266.12673540997343,667.0135370697717,667.0135370697717,179860179.0,0.0022301154184481,0.0056973529810874,0.0008897770478636,0.3914300949670898,2.506375528344415,True,,pass,False,False,0.3914300949670945,False,False,False,True,False,True,True,h>100k,100M<=p<500M,False,False,False,True,False,True,False,False,0.3914300949670945,2.50637552834468,True,41,179860179.0,0.0215131646198104,False,True,False,False,False,True,500000000,False,False,False,False,False,True,negative,0.0037932149837038,0.0037932149837038,19.011408839713177,False,361.4336660707243,401.2056533889212,10.03014133472303,2.059215174853389,0.8060387914505441,0.3215953803949273,7.940784825146611,False,False,True,True,0.06158908169232441
hexc_00001,2,24181,24178,3,24317,17.186562246627208,positive,0.1157979799474991,0.1106139903704657,0.0184358992034248,,-123.17681954167884,-142.7166816494566,-19.53986210777775,3.2566850455473286,24180,4,176.64910236341098,176.64910236341098,False,False,True,False,finite_positive,1,4,sr11_realpath_offsets_plus_left_endpoint,21.211456238336048,5.302864059584012,2.302794836624403,3.256685045547357,3.256685045547357,24180.0,0.018435899203425,0.0260719675992124,0.0130359837996062,0.7071157607599099,1.4142315215198198,True,,pass,False,False,0.70711576075991,True,False,False,False,True,False,True,2<=h<=10,p<1M,False,False,False,True,False,True,False,False,0.70711576075991,1.41423152151982,True,4,24180.0,0.6666666666666666,False,True,False,True,False,True,500000000,False,False,False,True,False,True,positive,0.0001240643480418,0.0001240643480418,10.09893097320806,False,101.98840680162108,401.2056533889212,10.03014133472303,2.6590384376271583,1.8802479877125706,1.3295192188135792,7.340961562372842,True,False,False,False,0.01113841766328822
hexc_00002,3,30974597,30910184,64413,30974597,-1027.9446158131832,negative,0.6812241515207513,0.6643586881865706,0.0022416133345536,,-4189.11794672998,-54354.14035448835,-50165.02240775837,169.26185381026153,30957127,41,75508.94313535435,75508.94313535435,False,False,True,False,finite_negative,2,41,sr11_realpath_offsets_plus_left_endpoint,136547.70983287788,3330.431947143363,57.70989470743611,169.26185381026153,169.26185381026153,30957127.0,0.0022416133345536,0.0048937729783674,0.0007642789358604,0.4580542138882367,2.93297803900602,True,,pass,False,False,0.4580542138882419,False,False,False,False,False,True,True,10k<h<=100k,10M<=p<100M,False,False,False,True,False,True,False,False,0.4580542138882419,2.932978039006225,True,41,30957127.0,0.7287814571592691,False,True,False,False,False,True,500000000,False,False,False,False,False,True,negative,0.0020795427943743,0.0020795427943743,17.24867797490251,False,297.5168918818869,401.2056533889212,10.03014133472303,1.4559801260994336,0.6669178320973794,0.22738589352798222,8.544019873900567,False,False,False,False,0.0456020042802328
hexc_00003,4,59921,59920,1,59921,10.0007823069704,positive,0.0921982535693211,0.0882306914983774,2.348567539256741e-16,,-239.1624278487056,-249.839860090676,-10.677432241970394,2.8421709430404014e-14,59921,2,121.017211365353,121.017211365353,False,False,True,False,finite_positive,3,2,sr11_realpath_offsets_plus_left_endpoint,3.2311742677852644e-27,1.6155871338926322e-27,4.0194366942304644e-14,5.684341886080804e-14,5.684341886080804e-14,59921.0,4.697135078513482e-16,4.697135078513482e-16,3.32137606616609e-16,0.5,0.7071067811865474,True,,pass,False,False,,False,False,False,False,True,False,True,h=1,p<1M,False,False,False,True,False,True,False,False,,,True,2,59921.0,1.0,False,True,False,False,False,True,500000000,False,False,False,False,False,True,positive,1.668864004272292e-05,1.668864004272292e-05,11.0007823069704,False,121.017211365353,401.2056533889212,10.03014133472303,5.684341886080801e-14,2.8421709430404004e-14,4.019436694230464e-14,9.999999999999943,False,False,False,False,0.004085173196172093
hexc_00004,5,356077,355293,784,356077,-4.315460261267276,negative,0.1566810093663226,0.1351797213221275,0.0128661873649445,,-445.57865085028266,-1064.0627175890131,-618.4840667387305,58.86631372712248,355941,37,4575.2725385852,4575.2725385852,False,False,True,False,finite_negative,4,37,sr11_realpath_offsets_plus_left_endpoint,17024.766230790614,460.128817048395,21.45061344223971,58.86631372712248,58.86631372712248,355941.0,0.0128661873649445,0.0285182984397066,0.0046883793831597,0.4511555060743252,2.7442718076866366,True,,pass,False,False,0.4511555060743262,True,False,False,False,False,True,True,101<=h<=1k,p<1M,False,False,False,True,False,True,False,False,0.4511555060743262,2.744271807686652,True,37,355941.0,0.826530612244898,False,True,False,True,False,True,500000000,False,False,False,True,False,True,negative,0.0022017709652687,0.0022017709652687,12.782902278581227,False,163.40259066375714,401.2056533889212,10.03014133472303,4.659963846370241,2.1023683473972303,0.7660933372228426,5.340036153629759,True,False,False,False,0.04692303235372527
hexc_00005,6,3448507,3446024,2483,3448507,-285.247239607314,negative,0.1786966438467436,0.1494490028165924,0.0076387824505859,,-1269.9908564127795,-2957.528938594951,-1687.5380821821711,86.25508396793089,3447295,40,11291.73196460307,11291.73196460307,False,False,True,False,finite_negative,5,40,sr11_realpath_offsets_plus_left_endpoint,38742.434728935325,968.5608682233832,31.12171056069032,86.25508396793089,86.25508396793089,3447295.0,0.0076387824505859,0.017431425110126,0.0027561503105324,0.4382190441875279,2.771540587389119,True,,pass,False,False,0.4382190441875286,False,False,False,False,False,True,True,1k<h<=10k,1M<=p<10M,False,False,False,True,False,True,False,False,0.4382190441875286,2.7715405873892025,True,40,3447295.0,0.5118807893677003,False,True,False,False,False,True,500000000,False,False,False,False,False,True,negative,0.0007200217369429,0.0007200217369429,15.053451941719482,False,226.60641536165804,401.2056533889212,10.03014133472303,3.950072758850848,1.7309971088548126,0.6245613420676678,6.0499272411491525,False,False,False,False,0.026833220770958018
hexc_00006,7,30774449,30670319,104130,30774449,-928.3530182520336,negative,0.862526348366495,0.8528427097579773,0.0037875901851982,,-3672.24244464055,-85488.94963792409,-81816.70719328354,363.3590972929378,30684688,41,95934.11101151556,95934.11101151556,True,False,True,False,threshold_relevant_negative,6,41,sr11_realpath_offsets_plus_left_endpoint,546004.5707118717,13317.184651509066,115.40010680891533,363.3590972929378,363.3590972929378,30684688.0,0.0037875901851982,0.0077023825323383,0.0012029100555803,0.4917426743343446,3.14868943661029,True,,pass,False,False,0.4917426743343476,False,False,False,True,False,True,True,h>100k,10M<=p<100M,False,False,False,True,False,True,False,False,0.4917426743343476,3.1486894366104665,True,41,30684688.0,0.1379909728224335,False,True,False,False,False,True,500000000,False,False,False,False,False,True,negative,0.0033836511581409,0.0033836511581409,17.242195325731537,False,297.2932996506784,401.2056533889212,10.03014133472303,2.2898667182106016,1.1260251838820972,0.3576170996064484,7.710133281789398,False,False,True,False,0.05816915985417842
hexc_00007,8,3452747,3451296,1451,3452747,-246.6432758578178,negative,0.1383470038914393,0.1049756413821095,0.0076429115920426,,-1239.2532286860674,-2145.539374150402,-906.2861454643348,65.98354433162308,3451634,36,8633.299435299174,8633.299435299174,False,False,True,False,finite_negative,7,36,sr11_realpath_offsets_plus_left_endpoint,21795.384279318427,605.4273410921785,24.6054331620514,65.98354433162308,65.98354433162308,3451634.0,0.0076429115920426,0.0171003681823752,0.0028500613637292,0.4469442710549281,2.681665626329569,True,,pass,False,False,0.4469442710549299,False,False,False,False,False,True,True,1k<h<=10k,1M<=p<10M,False,False,False,True,False,True,False,False,0.4469442710549299,2.6816656263295795,True,36,3451634.0,0.2329427980702963,False,True,False,False,False,True,500000000,False,False,False,False,False,True,negative,0.0004202450975991,0.0004202450975991,15.05468070406716,False,226.64341110141206,401.2056533889212,10.03014133472303,3.875685775943569,1.7322155539670587,0.6459476293239281,6.124314224056431,False,False,False,False,0.02049988042889763
hexc_00008,9,12883477,12871995,11482,12883477,-480.68150179983786,negative,0.3212949859833325,0.3009444286825112,0.0039191521021917,,-2412.5263892811627,-11055.629614520863,-8643.103225239702,112.55777793578729,12878725,39,28719.93099549272,28719.93099549272,False,False,True,False,finite_negative,8,39,sr11_realpath_offsets_plus_left_endpoint,39642.26836207528,1016.4684195403918,31.88210186829582,112.55777793578729,112.55777793578729,12878725.0,0.0039191521021917,0.0069325954294071,0.0011101037071885,0.5653224888282364,3.5304378111819377,True,,pass,False,False,0.5653224888282395,False,False,False,False,False,True,True,10k<h<=100k,10M<=p<100M,False,False,False,True,False,True,False,False,0.5653224888282395,3.530437811182097,True,39,12878725.0,0.5861348197178192,False,True,False,False,False,True,500000000,False,False,False,False,False,True,negative,0.0008912190397048,0.0008912190397048,16.371456195625765,False,268.02457796529325,401.2056533889212,10.03014133472303,1.858105964170959,1.0504290881717222,0.2975350776169052,8.141894035829042,False,False,False,False,0.029853291940837728
hexc_00009,10,178298621,178254856,43765,178298621,-1758.548029879923,negative,0.4625799992422776,0.437251926315424,0.0025143310542018,,-8710.023780257156,-41728.370810160646,-33018.34702990349,189.86549926782936,178261863,40,75513.32548295001,75513.32548295001,False,False,True,False,finite_negative,9,40,sr11_realpath_offsets_plus_left_endpoint,158688.08933025305,3967.202233256326,62.98573039392594,189.86549926782936,189.86549926782936,178261863.0,0.0025143310542018,0.005275317087686,0.0008341008688346,0.4766217864080473,3.014420855015426,True,,pass,False,False,0.4766217864080475,False,False,False,False,False,True,True,10k<h<=100k,100M<=p<500M,False,False,False,True,False,True,False,False,0.4766217864080475,3.0144208550157803,True,40,178261863.0,0.1601051068205186,False,True,False,False,False,True,500000000,False,False,False,False,False,True,negative,0.0002454589932021,0.0002454589932021,18.998970348647543,False,360.9608743087885,401.2056533889212,10.03014133472303,1.9041830682272305,0.9075751356264197,0.30107777887625736,8.09581693177277,False,False,False,False,0.015667130981842095
